DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
CAST,TA,271026,MISC,332,2,2011-11-11,2011-11-10 19:09:13
CHAT,TA,273035,CHAT,R14,0,2011-11-11,2011-11-10 12:08:17
CHAT,TA,273035,MISC,916,2,2011-11-11,2011-11-10 19:01:13
QUVT,TA,292010,MISC,477,0,2011-11-11,2011-11-10 20:07:04
JGLT,TA,299014,B68,139,0,2011-11-11,2011-11-10 20:22:46
UPKT,TA,311054,UPKT,29,,2011-11-11,2011-11-10 11:01:39
UPKT,TA,311054,X2737,730,0,2011-11-11,2011-11-10 19:00:39
QUVT,TA,358011,MISC,474,2,2011-11-11,2011-11-10 20:07:06
GAVT,TA,431026,B13,019,0,2011-11-11,2011-11-10 21:13:34
JGLT,TA,446089,B35,071,0,2011-11-11,2011-11-10 20:22:51
QUVT,TA,470054,MISC,499,0,2011-11-11,2011-11-10 20:07:07
QUVT,TA,532015,MISC,460,0,2011-11-11,2011-11-10 20:07:01
JAMT,TA,664018,MISC,374,0,2011-11-11,2011-11-10 19:02:27
GAVT,TA,673029,B60,624,0,2011-11-11,2011-11-10 21:13:26
CHAT,TA,676045,S7484,813,0,2011-11-11,2011-11-10 19:01:29
JAMT,TA,678033,MISC,385,0,2011-11-11,2011-11-10 19:02:29
JGLT,TA,712008,B35,065,0,2011-11-11,2011-11-10 20:22:58
GAVT,TA,756101,B62,734,0,2011-11-11,2011-11-10 21:05:19
CHAT,TA,771033,MISC,919,0,2011-11-11,2011-11-10 19:01:13
GAVT,TA,832115,B57,521,0,2011-11-11,2011-11-10 21:13:08
CHAT,TA,866006,S78,805,0,2011-11-11,2011-11-10 19:01:14
JGLT,TA,866005,B63,126,2,2011-11-11,2011-11-10 20:23:02
CAST,TA,937014,Q4420,084,2,2011-11-11,2011-11-10 19:09:34
ENYT,TA,964151,B45,023,0,2011-11-11,2011-11-10 19:04:08
ENYT,TA,955046,B12,024,0,2011-11-11,2011-11-10 19:04:03
UPKT,TA,996048,B6,269,2,2011-11-11,2011-11-10 19:00:41
QUVT,TA,629023,MISC,507,0,2011-11-11,2011-11-10 20:07:07
LGAT,RB,B04261,Q53,320,0,2011-11-11,2011-11-10 23:58:36
LGAT,RB,B04304,Q100,044,0,2011-11-11,2011-11-10 23:59:06
LGAT,RB,B04301,Q33,348,0,2011-11-11,2011-11-10 23:59:05
LGAT,RB,B04311,QM24,407,0,2011-11-11,2011-11-10 23:58:36
LGAT,RB,B04326,Q49,908,2,2011-11-11,2011-11-10 23:58:42
LGAT,RB,B04347,Q29,945,0,2011-11-11,2011-11-10 23:59:03
LGAT,RB,B04369,Q53,315,0,2011-11-11,2011-11-10 23:58:28
LGAT,RB,B04477,QM24,404,0,2011-11-11,2011-11-10 23:58:28
